Model,Accuracy,Macro Precision,Macro Recall,Macro F1
NaiveBayes,0.6666666666666666,0.5873527072941517,0.410315722218077,0.40774533504477767
RandomForest,0.7023809523809523,0.5503148059041337,0.49989143089743465,0.5030361418561448
XGBoost,0.7448979591836735,0.677243872212025,0.5894582516751771,0.6025347787445635
MLP,0.7397959183673469,0.6057686076893603,0.5873631429523115,0.5932275550415979
SVM_RBF,0.7193877551020408,0.6510229293441285,0.5086008765644502,0.5253228851789553
