Model,Accuracy,Macro Precision,Macro Recall,Macro F1
NaiveBayes,0.5889830508474576,0.5953087267414753,0.5600017482172648,0.5567042331153309
RandomForest,0.614406779661017,0.5895938635884862,0.5586600842153919,0.5325592352836935
XGBoost,0.6483050847457628,0.6283868013038705,0.6076995832838887,0.5999910626059773
MLP,0.6822033898305084,0.6515251271686526,0.6508967827236259,0.6453575011341796
SVM_RBF,0.6567796610169492,0.6470634569772501,0.6059930654986315,0.5901235585121944
